Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,Replicate
1,50,magus,ftnoml,0.1028,0.1046,0.1397,0.1290,528,2
1,50,magus,ftnoml,0.0817,0.0836,0.0813,0.0688,488,3
1,50,magus,ftnoml,0.1933,0.1957,0.2064,0.1870,433,4
1,50,magus,ftnoml,0.0612,0.0631,0.1219,0.1104,660,5
1,50,magus,ftnoml,0.0928,0.0946,0.1354,0.1104,519,6
1,50,magus,ftnoml,0.0963,0.0986,0.1095,0.1020,498,7
1,50,magus,ftnoml,0.0863,0.0886,0.1704,0.1418,527,8
1,50,magus,ftnoml,0.1268,0.1281,0.1624,0.1418,524,9
2,50,magus,ftnoml,0.0836,0.0841,0.1045,0.0953,706,0
2,50,magus,ftnoml,0.0833,0.0861,0.1198,0.1116,606,1
2,50,magus,ftnoml,0.0958,0.0976,0.1446,0.1348,624,2
2,50,magus,ftnoml,0.0883,0.0901,0.0784,0.0702,594,3
