Dataset,Replicate,Method,Iteration,Runtime
RNASim-10000,R8,magus_magus-iter3,3,937.6200
RNASim-10000,R8,magus_magus-iter3guide,3,6140.5100
RNASim-10000,R8,magus_magus-iter4,4,958.9900
RNASim-10000,R9,magus_clustalo-iter0initi,0,54.1100
RNASim-10000,R9,magus_clustalo-iter1,1,1030.5800
RNASim-10000,R9,magus_clustalo-iter1guide,1,6980.1700
RNASim-10000,R9,magus_clustalo-iter2,2,965.4100
RNASim-10000,R9,magus_clustalo-iter2guide,2,6210.4700
RNASim-10000,R9,magus_clustalo-iter3,3,978.2500
RNASim-10000,R9,magus_clustalo-iter3guide,3,6242.4200
RNASim-10000,R9,magus_clustalo-iter4,4,990.8000
RNASim-10000,R9,magus_default-iter0initi,0,1174.5200
RNASim-10000,R9,magus_default-iter1,1,1850.6800
RNASim-10000,R9,magus_magus-iter0initi,0,1038.5300
RNASim-10000,R9,magus_magus-iter1,1,981.1300
RNASim-10000,R9,magus_magus-iter1guide,1,6196.8600
RNASim-10000,R9,magus_magus-iter2,2,1022.5900
RNASim-10000,R9,magus_magus-iter2guide,2,6308.8500
RNASim-10000,R9,magus_magus-iter3,3,1023.4300
RNASim-10000,R9,magus_magus-iter3guide,3,6168.7000
RNASim-10000,R9,magus_magus-iter4,4,1017.0400
ROSE-1000L1,R0,magus_clustalo-iter0initi,0,5.5600
ROSE-1000L1,R0,magus_clustalo-iter1,1,426.0000
ROSE-1000L1,R0,magus_clustalo-iter1guide,1,55.3400
ROSE-1000L1,R0,magus_clustalo-iter2,2,411.9000
ROSE-1000L1,R0,magus_clustalo-iter2guide,2,40.4400
ROSE-1000L1,R0,magus_clustalo-iter3,3,415.5800
ROSE-1000L1,R0,magus_clustalo-iter3guide,3,40.9700
ROSE-1000L1,R0,magus_clustalo-iter4,4,383.7000
ROSE-1000L1,R0,magus_default-iter0initi,0,102.6200
ROSE-1000L1,R0,magus_default-iter1,1,280.7500
ROSE-1000L1,R0,magus_magus-iter0initi,0,141.2400
ROSE-1000L1,R0,magus_magus-iter1,1,118.5800
ROSE-1000L1,R0,magus_magus-iter1guide,1,39.0800
ROSE-1000L1,R0,magus_magus-iter2,2,126.5600
ROSE-1000L1,R0,magus_magus-iter2guide,2,39.6400
ROSE-1000L1,R0,magus_magus-iter3,3,129.5700
ROSE-1000L1,R0,magus_magus-iter3guide,3,38.3000
ROSE-1000L1,R0,magus_magus-iter4,4,125.4500
ROSE-1000L1,R1,magus_clustalo-iter0initi,0,5.9400
ROSE-1000L1,R1,magus_clustalo-iter1,1,413.3300
ROSE-1000L1,R1,magus_clustalo-iter1guide,1,55.3900
ROSE-1000L1,R1,magus_clustalo-iter2,2,376.8900
ROSE-1000L1,R1,magus_clustalo-iter2guide,2,38.4100
ROSE-1000L1,R1,magus_clustalo-iter3,3,356.6100
ROSE-1000L1,R1,magus_clustalo-iter3guide,3,38.4500
ROSE-1000L1,R1,magus_clustalo-iter4,4,376.8500
ROSE-1000L1,R1,magus_default-iter0initi,0,151.8300
ROSE-1000L1,R1,magus_default-iter1,1,324.2800
ROSE-1000L1,R1,magus_magus-iter0initi,0,132.9800
ROSE-1000L1,R1,magus_magus-iter1,1,127.8100
ROSE-1000L1,R1,magus_magus-iter1guide,1,39.8600
ROSE-1000L1,R1,magus_magus-iter2,2,115.2400
