dataset,replicate,method,iteration,runtime
ROSE-1000L1,R1,magus_magus-iter0,0,781.5400
ROSE-1000L1,R1,magus_magus-iter1,1,949.2100
ROSE-1000L1,R1,magus_magus-iter2,2,1104.4700
ROSE-1000L1,R1,magus_magus-iter3,3,1265.1300
ROSE-1000L1,R1,magus_magus-iter4,4,1395.8600
ROSE-1000L1,R1,muscle,-1,2064.2100
ROSE-1000L1,R1,pasta-iter3,3,1214.1800
ROSE-1000L1,R2,clustalo,-1,463.3600
ROSE-1000L1,R2,mafft,-1,17.9400
ROSE-1000L1,R2,magus_clustalo-iter0,0,23.6800
ROSE-1000L1,R2,magus_clustalo-iter1,1,487.5800
ROSE-1000L1,R2,magus_clustalo-iter2,2,890.1800
ROSE-1000L1,R2,magus_clustalo-iter3,3,1301.6700
ROSE-1000L1,R2,magus_clustalo-iter4,4,1669.2200
ROSE-1000L1,R2,magus_default-iter0,0,509.4600
ROSE-1000L1,R2,magus_default-iter1,1,1168.5800
ROSE-1000L1,R2,magus_magus-iter0,0,774.0600
ROSE-1000L1,R2,magus_magus-iter1,1,963.6600
ROSE-1000L1,R2,magus_magus-iter2,2,1141.8800
ROSE-1000L1,R2,magus_magus-iter3,3,1300.1400
ROSE-1000L1,R2,magus_magus-iter4,4,1434.9100
ROSE-1000L1,R2,muscle,-1,2072.0600
ROSE-1000L1,R2,pasta-iter3,3,1503.9100
ROSE-1000L1,R3,clustalo,-1,854.4600
ROSE-1000L1,R3,mafft,-1,18.5800
ROSE-1000L1,R3,magus_clustalo-iter0,0,23.6200
ROSE-1000L1,R3,magus_clustalo-iter1,1,401.5300
ROSE-1000L1,R3,magus_clustalo-iter2,2,716.7400
ROSE-1000L1,R3,magus_clustalo-iter3,3,1015.2400
ROSE-1000L1,R3,magus_clustalo-iter4,4,1299.9500
ROSE-1000L1,R3,magus_default-iter0,0,460.2300
ROSE-1000L1,R3,magus_default-iter1,1,1236.1700
ROSE-1000L1,R3,magus_magus-iter0,0,942.2800
ROSE-1000L1,R3,magus_magus-iter1,1,1148.5000
ROSE-1000L1,R3,magus_magus-iter2,2,1353.8700
ROSE-1000L1,R3,magus_magus-iter3,3,1554.3700
ROSE-1000L1,R3,magus_magus-iter4,4,1698.2200
ROSE-1000L1,R3,muscle,-1,2202.0700
ROSE-1000L1,R3,pasta-iter3,3,1041.3900
ROSE-1000L1,R4,clustalo,-1,555.9300
ROSE-1000L1,R4,mafft,-1,17.1700
ROSE-1000L1,R4,magus_clustalo-iter0,0,22.8900
ROSE-1000L1,R4,magus_clustalo-iter1,1,435.1000
ROSE-1000L1,R4,magus_clustalo-iter2,2,803.7400
ROSE-1000L1,R4,magus_clustalo-iter3,3,1176.4200
ROSE-1000L1,R4,magus_clustalo-iter4,4,1505.0900
ROSE-1000L1,R4,magus_default-iter0,0,453.3600
ROSE-1000L1,R4,magus_default-iter1,1,1079.5800
ROSE-1000L1,R4,magus_magus-iter0,0,763.7100
ROSE-1000L1,R4,magus_magus-iter1,1,940.5300
ROSE-1000L1,R4,magus_magus-iter2,2,1110.9600
ROSE-1000L1,R4,magus_magus-iter3,3,1274.4400
ROSE-1000L1,R4,magus_magus-iter4,4,1394.1300
ROSE-1000L1,R4,muscle,-1,2042.3900
ROSE-1000L1,R4,pasta-iter3,3,1522.5500
ROSE-1000L1,R5,clustalo,-1,510.2100
ROSE-1000L1,R5,mafft,-1,15.6100
ROSE-1000L1,R5,magus_clustalo-iter0,0,21.2400
ROSE-1000L1,R5,magus_clustalo-iter1,1,352.4800
ROSE-1000L1,R5,magus_clustalo-iter2,2,670.2000
