Dataset,Replicate,Method,Iteration,Runtime
RNASim-10000,R8,magus_magus-iter2guide,2,15375.9700
RNASim-10000,R8,magus_magus-iter3,3,16313.5900
RNASim-10000,R8,magus_magus-iter3guide,3,22454.1000
RNASim-10000,R8,magus_magus-iter4,4,23413.0900
RNASim-10000,R9,magus_clustalo-iter0initi,0,54.1100
RNASim-10000,R9,magus_clustalo-iter1,1,1084.6900
RNASim-10000,R9,magus_clustalo-iter1guide,1,8064.8600
RNASim-10000,R9,magus_clustalo-iter2,2,9030.2700
RNASim-10000,R9,magus_clustalo-iter2guide,2,15240.7400
RNASim-10000,R9,magus_clustalo-iter3,3,16218.9900
RNASim-10000,R9,magus_clustalo-iter3guide,3,22461.4100
RNASim-10000,R9,magus_clustalo-iter4,4,23452.2100
RNASim-10000,R9,magus_default-iter0initi,0,1174.5200
RNASim-10000,R9,magus_default-iter1,1,3025.2000
RNASim-10000,R9,magus_magus-iter0initi,0,1038.5300
RNASim-10000,R9,magus_magus-iter1,1,2019.6600
RNASim-10000,R9,magus_magus-iter1guide,1,8216.5200
RNASim-10000,R9,magus_magus-iter2,2,9239.1100
RNASim-10000,R9,magus_magus-iter2guide,2,15547.9600
RNASim-10000,R9,magus_magus-iter3,3,16571.3900
RNASim-10000,R9,magus_magus-iter3guide,3,22740.0900
RNASim-10000,R9,magus_magus-iter4,4,23757.1300
ROSE-1000L1,R0,magus_clustalo-iter0initi,0,5.5600
ROSE-1000L1,R0,magus_clustalo-iter1,1,431.5600
ROSE-1000L1,R0,magus_clustalo-iter1guide,1,486.9000
ROSE-1000L1,R0,magus_clustalo-iter2,2,898.8000
ROSE-1000L1,R0,magus_clustalo-iter2guide,2,939.2400
ROSE-1000L1,R0,magus_clustalo-iter3,3,1354.8200
ROSE-1000L1,R0,magus_clustalo-iter3guide,3,1395.7900
ROSE-1000L1,R0,magus_clustalo-iter4,4,1779.4900
ROSE-1000L1,R0,magus_default-iter0initi,0,102.6200
ROSE-1000L1,R0,magus_default-iter1,1,383.3700
ROSE-1000L1,R0,magus_magus-iter0initi,0,141.2400
ROSE-1000L1,R0,magus_magus-iter1,1,259.8200
ROSE-1000L1,R0,magus_magus-iter1guide,1,298.9000
ROSE-1000L1,R0,magus_magus-iter2,2,425.4600
ROSE-1000L1,R0,magus_magus-iter2guide,2,465.1000
ROSE-1000L1,R0,magus_magus-iter3,3,594.6700
ROSE-1000L1,R0,magus_magus-iter3guide,3,632.9700
ROSE-1000L1,R0,magus_magus-iter4,4,758.4200
ROSE-1000L1,R1,magus_clustalo-iter0initi,0,5.9400
ROSE-1000L1,R1,magus_clustalo-iter1,1,419.2700
ROSE-1000L1,R1,magus_clustalo-iter1guide,1,474.6600
ROSE-1000L1,R1,magus_clustalo-iter2,2,851.5500
ROSE-1000L1,R1,magus_clustalo-iter2guide,2,889.9600
ROSE-1000L1,R1,magus_clustalo-iter3,3,1246.5700
